"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	1961		1962		1963		1964		1965		1966		1967		1968		1969		1970		1971		1972		1973		1974		1975		1976		1977		1978		1979		1980		1981		1982		1983		1984		1985		1986		1987		1988		1989		1990		1991		1992		1993		1994		1995		1996		1997		1998		1999		2000		2001		2002		2003		2004		2005		2006		2007	
"Cuba"	49	"Potatoes"	116	"Seed (tonnes)"	111	7700	"F "	7600	"F "	6800	"F "	7500	"F "	9000	"F "	8951	"F "	7499	"F "	9787	"F "	11100	"F "	13200	"F "	5208	"F "	5807	"F "	10806	"F "	9480	"F "	10517	"F "	12286	"F "	10486	"F "	13062	"F "	13917	"F "	16100	"F "	14500	"F "	12717	"F "	16600	"F "	14900	"F "	14200	"F "	13479	"F "	15165	"F "	16394	"F "	16852	"F "	17731	"F "	14669	"F "	13872	"F "	14542	"F "	13226	"F "	13736	"F "	17233	"F "	12164	"F "	13959	"F "	13404	"F "	13258	"F "	12795	"F "	12707	"F "	12451	"F "	12316	"F "	12316	"F "				
"Egypt"	59	"Potatoes"	116	"Seed (tonnes)"	111	58000		60000		60000		58000		53000		42000		82000		90000		96000		79000		106000		90000	"F "	86700		72000		74700		103133		112196		99000	"F "	106837		119315		118422		106000	"F "	112000	"F "	114000	"F "	126197		126393		140326		152537		166000	"F "	164000	"F "	179000	"F "	162000	"F "	160000	"F "	132000	"F "	260000	"F "	263000	"F "	260384		290380		213000		215840		232087		235000	"F "	250000	"F "	240000	"F "	250000	"F "				
"Eritrea"	178	"Potatoes"	116	"Seed (tonnes)"	111																																																																	4250	"F "	4250	"F "	4165	"F "	4420	"F "	4590	"F "	4250	"F "	4250	"F "	2550	"F "	2125	"F "	2125	"F "	2125	"F "	1874	"F "	1874	"F "				
"Fiji"	66	"Potatoes"	116	"Seed (tonnes)"	111	10	"F "	15	"F "	49	"F "	24	"F "	48	"F "	40	"F "	61	"F "	100	"F "	150	"F "	130	"F "	130	"F "	83	"F "	171	"F "	317	"F "	350	"F "	300	"F "	200	"F "	200	"F "	150	"F "	100	"F "	100	"F "	70	"F "	60	"F "	50	"F "	40	"F "	35	"F "	30	"F "	26	"F "	17	"F "	14	"F "	11	"F "	7	"F "	11	"F "	10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	9	"F "	9	"F "				
"Finland"	67	"Potatoes"	116	"Seed (tonnes)"	111	182000		180000		183000		168000		180000		167000		164000		159000		149000		148000		144000		127000		123000		104000		105100		114000		102200		93000		88200		95900		103200		84900		90000		107100		112300		115500		114600		106000		92200		96200		119800		117300		94900		102000		104800		98500		78300		78700		63200		93700		86500		67900		71700		65000		55600					
"Greece"	84	"Potatoes"	116	"Seed (tonnes)"	111	70000		61000		80000		84000		85000		85000		85000		83000	"F "	88000	"F "	77000	"F "	78000	"F "	84000	"F "	84000	"F "	86000	"F "	98000	"F "	104000	"F "	96000	"F "	94000	"F "	130000		114000		80000		95000		95000		97000		105000		111000		114000		118000		120000		130000		120000		120000		120000		120000		120000		115000	"* "	112000	"* "	116000	"* "	113000	"* "	108000	"* "	107000	"* "	106000	"* "	105000	"* "	102500	"* "	102000	"* "				
"Guadeloupe"	87	"Potatoes"	116	"Seed (tonnes)"	111	15	"F "	16	"F "	16	"F "	27	"F "	22	"F "	19	"F "	18	"F "	18	"F "	18	"F "	18	"F "	13	"F "	13	"F "	9	"F "	9	"F "	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0																															
"Iceland"	99	"Potatoes"	116	"Seed (tonnes)"	111	700	"F "	710	"F "	710	"F "	710	"F "	400	"F "	500	"F "	340	"F "	590	"F "	660	"F "	1390	"F "	1050	"F "	650	"F "	1000	"F "	700	"F "	800	"F "	800	"F "	1000	"F "	800	"F "	1000	"F "	860	"F "	950	"F "	1000	"F "	1000	"F "	1000	"F "	1000	"F "	1000	"F "	1000	"F "	900	"F "	1000	"F "	1500	"F "	1000	"F "	800	"F "	800	"F "	800	"F "	900	"F "	800	"F "	800	"F "	700	"F "	681	"F "	800	"F "	800	"F "	800	"F "	750	"F "	750	"F "	750	"F "				
"Ireland"	104	"Potatoes"	116	"Seed (tonnes)"	111	216000		212000		208000		184000		177000		170000		162000		148000		136000		143000		130000		120000		100000		99000		119000		134000		103000		102000		102000		108000		114000		100000		110000		102000		94000		94000		88000		76000		75000		63000		68000		67000		66000		69000		75000		63000		57000		20000		21000		21000	"F "	21000	"F "	21000	"F "	20000	"F "	19000	"F "	20000	"F "				
"Kyrgyzstan"	113	"Potatoes"	116	"Seed (tonnes)"	111																																																															27000	"F "	38000	"F "	41000	"F "	66000	"F "	74630		160000	"* "	204000	"* "	228000	"* "	223729		239000		251000		274500		235000	"* "	230000	"F "				
